選手名,0,1,2,3,4,5,6,7,8,9,10,11,Team
園田 賢,0.6112485035071333,-1.9100502681063714,-0.16890742986159987,1.364942822816686,0.46440422019221533,1.8445842966523187,-0.16820128302859882,0.45654441511449956,0.08632464532008194,-0.0713257429788554,-0.11008235997031855,-0.0170090848553707,赤坂
村上 淳,-3.429423197513915,0.7347857017538465,0.7094509283473973,0.05930056642490028,0.320293401471749,0.2751386569064089,-0.4159260906908926,-0.5656287961085631,0.20262560422032183,0.9482233487500369,-0.21122111766648902,-0.0009747220987414439,赤坂
鈴木 たろう,1.3004025226969653,-0.6747218834797681,0.3651303363760854,-0.7421654698317637,0.6142585427589569,0.6104151388055705,0.8341933472559668,0.44549279506522826,0.3563493537268314,0.1072488742501063,-0.08637738947491448,0.035596127445837795,赤坂
丸山 奏子,0.8831750962710379,-0.6118753269264287,0.040553125403367654,0.13535600389412578,1.215683817048021,-0.8263929271772057,0.18904109885629078,0.22682529593847578,0.5074521950894125,-0.6394075961945714,-0.1459391931360734,0.0055159943395987595,赤坂
二階堂 亜樹,0.18439720372916643,1.5545442488412369,-0.31779742288398755,0.4840012522766004,-0.88311710946148,0.895716799705292,1.0030871498735785,-0.29420602035293525,-0.32476637858234636,-0.007341996902296556,-0.1383986437153913,0.03286786690727923,風林
勝又 健志,1.880140271468259,0.2684993128470864,-0.4376112028430979,-1.6892357341831838,0.6756793130025166,0.4034872019354694,0.09909981087558418,0.22806949443115365,0.5582731193819624,0.2757333809060141,-0.1670863396133584,-0.02144949787596598,風林
松ヶ瀬 隆弥,1.0521706329970197,1.7658420665053332,-0.07957144227646891,0.0157884087404041,0.4537644736197434,-0.5297028087681999,-0.0027816653181244174,-0.03904467556544587,-0.044057594376955965,-0.3715774287010261,0.2768357092320982,0.014624803094964188,風林
二階堂 瑠美,-2.6678456330819715,-0.9928940838279606,1.1313146637291802,-0.49702901930376125,-0.23298896828908788,-0.3086822992105016,0.3360522597758214,0.3229009639568181,-0.7098847706344954,0.24826367219431028,0.0037506246345410813,-0.047348982342306646,風林
内川 幸太郎,-1.889140245537335,0.45324271752937795,-0.4933106838236953,-1.0919817319055443,0.10054270237106139,-0.6565599751339388,-0.13906989170994963,0.1737832775416502,0.3597808023844769,-0.13579968024656233,0.06020299730368255,-0.007713483374364665,角川
岡田 紗佳,-2.838809952319793,-1.7413549975319818,-0.116540435547968,0.8623686981238438,-0.1949827424201034,-0.2052503535187363,1.663062670791516,-0.2061183071610636,-0.283802685175558,-0.1960289690545755,0.23537155616020283,-0.013686934812347215,角川
沢崎 誠,3.6640541234985737,-0.9613538697301156,-1.459963489599303,-0.890099268579318,-0.9146542383192775,-0.6075978527689173,0.13642133841413775,0.5347778310716493,0.14197894477572048,0.5770560062718691,0.23155116674322496,0.01380423672477821,角川
堀 慎吾,1.8314977279196651,-1.7044756909564853,0.10187920330222128,-0.3135579741815376,-0.48093386276742206,0.3446772097553954,0.4889463007038531,-0.49841929475356106,0.3891073985596018,-0.03784683219598877,0.08104254748613965,-0.040704561689132446,角川
滝沢 和典,1.9439745234962003,1.5907078890097248,0.4737877449983776,-1.6381258635021612,-0.9349059065368684,-0.1122784900811388,0.24892085576113923,0.04186548744186476,-0.36475454711704086,-0.03896608521833923,0.016296555157326954,-0.015000128016030071,コナミ
佐々木 寿人,-1.6122541068294378,2.246746578423038,0.7552562829096151,-0.7369014839489572,-0.3266608780124975,0.34696555695169223,-0.8501341185024788,1.3523340397919887,0.2530981344449406,-0.3050259236145028,0.04693585197150752,0.010447932464331618,コナミ
高宮 まり,-1.7290023596820696,-2.2174846498305145,0.619970861545939,-0.8270514916712399,-0.5751246364370637,-0.693973307143818,-0.22825047765522122,-0.5280955992731472,0.040358433555519505,-0.5469415750415205,-0.13966159949920742,-0.020502918787334415,コナミ
伊達 朱里紗,2.3977764611397965,1.1193198181444073,2.694291959405936,0.7387706282436977,0.8493430155744945,-0.39349783103690805,-1.0342985523073538,-0.28060145708877526,-0.031153848298244528,0.3505145658965639,0.16612491023926348,-0.003261647456756365,コナミ
多井 隆晴,2.8528453169137933,-0.41985099306158796,-1.9783958042967027,0.24992783406121993,-0.512699911481781,-0.1801264873004563,-0.27674494194399696,-0.46293579870678286,-0.1610858679726337,0.452920085931363,0.004757492824330942,0.0635950464207072,渋谷
白鳥 翔,1.1021114554195217,0.028077328122193445,-1.2009397004944902,-1.09260781452671,0.6217193918295928,0.5887370046771545,-0.3957314217991886,-0.9558219855503955,-0.0816568589796107,-0.003715647879775074,-0.025134970725465243,0.0010179375739163947,渋谷
松本 吉弘,1.9446196935113516,-0.8711695280685172,1.1899273296812574,0.5235755488447884,-1.4525358289890782,0.26808538925208747,-0.21419718000814236,-0.18219372570779388,-0.3464551273517903,-0.3533385204356748,-0.11209192978099262,0.0488160618473806,渋谷
日向 藍子,-1.2962460542096916,-1.0580362475556353,-1.4086131208157617,0.7299808193778483,-0.7789946117086718,-0.5784643656202306,-0.7436304270663343,-0.4850206690500981,0.9665814058298688,-0.09543182268206196,0.10440190161150545,-0.010755643723401816,渋谷
魚谷 侑未,-0.5432356786694251,-1.778199178162257,0.25023716230017484,-0.7048780191399955,-0.038690593053193466,-0.08474230449528929,-0.1853715978043457,0.43820630815683964,-0.24921036893592047,-0.5118827831340592,-0.19094938743030687,0.03284148666784811,セガ
近藤 誠一,-0.3851070336633533,0.826055523065813,0.3450203887227023,-1.6305560495412954,-0.253647775486166,0.031183405138795233,-0.7509338579930372,-0.3219351044349908,-0.7495721944418592,-0.05793841246008823,0.016207843849058347,-0.0029543703280735835,セガ
茅森 早香,1.1556031574350052,2.8034996646824797,0.68625558462231,0.08158586789926321,-0.4643552081634493,1.7730078587047455,0.5444594575708522,-0.43195158422569924,0.5017488774235583,-0.38386135828834267,0.11366056006415745,-0.03031706097263942,セガ
東城 りお,0.48809516138206255,0.8246577593136538,0.9848196840919097,0.44098216810300433,1.8087799463399459,-0.96015122662897,0.2503488010294938,-0.8610938249821118,-0.10772439065526547,-0.3154956430890517,-0.04457847895216974,0.01850847139871928,セガ
萩原 聖人,-3.908881985521306,1.6877599024947267,-1.7088803125774996,1.4153065633332247,-0.6143537354071384,0.5418868904684553,-0.9908837608992392,-0.06878659296408184,-0.27759809832983023,-0.39336119160781957,0.057854482263922445,-0.011057810300749241,雷電
瀬戸熊 直樹,-4.729997994011699,1.6495645904152647,-0.09226139807332116,0.4677510925475045,1.0588389848506496,0.058786942958293655,0.8061363738235013,0.26688018368686395,0.09636837473481932,0.35518246501194545,0.09342549894913264,0.052149627108061786,雷電
黒沢 咲,-1.9036710035367628,1.587872300845606,-0.19603324853824175,-0.15804368637665184,-0.9432006261526759,-1.4562142821897675,0.7128545273526278,0.23770729875867228,0.19148513534304196,0.17623912376763723,-0.13966419660623827,-0.013584066660569136,雷電
本田 朋広,-2.4545781103229243,-0.5601709431929597,-1.1998656716153422,0.06999452368137608,0.3316122940588487,0.16507607141970335,-0.21842530378901215,0.04280901140563116,-0.24424162241291333,0.5928007535449228,-0.08636681163945373,-0.032347403630331055,雷電
小林 剛,1.8516005489718756,-1.7791475889380215,-0.797168510427622,-0.39862300790976424,1.6523478804110805,0.5471728414547218,-0.10399033261144627,0.38514558845457225,-0.6085693816986915,0.008422843116576264,0.17905852287869237,-0.02013094650507921,U-N
朝倉 康心,1.161568809988575,-1.5791466335944435,3.056880551520982,1.404125955521769,-0.8943768533168022,-0.12140158597148393,-0.11944757078930467,0.19801245789856023,0.2619324851853491,0.48006597663584744,0.05881498595794337,0.0018973141711629274,U-N
石橋 伸洋,-1.941316310302809,-2.320634208109413,-0.4188717130115116,0.8787240543034794,0.15170262854783617,0.012149971864940148,-0.6116139535710023,0.33690820728683113,0.009775044336224862,-0.09598205269775276,0.06750900757113751,0.02341732746762808,U-N
瑞原 明奈,5.024228454856489,2.0393906890786733,-1.3300442202708405,2.488373806408149,0.17725287392604513,-0.992035139605483,0.1370084354033056,0.4935907799241469,-0.3387062193485759,-0.01140183385432859,-0.2162497966874887,-0.04630097020301961,U-N
